Date,Open,High,Low,Close,Volume,Adj Close,Return
2000/1/3,6817.46,6967.14,6743.65,6856.08,31697100,6856.08,
2000/1/10,6892,6971.03,6733.59,6864.43,25205000,6864.43,0.001217897
2000/1/17,6748.68,6874.53,6651.72,6848.03,30510500,6848.03,-0.002389128
2000/1/24,6752.03,6838.13,6649.56,6692.96,32387900,6692.96,-0.022644469
2000/1/31,6454.54,6767.46,6414.33,6766.67,35212400,6766.67,0.011013064
2000/2/7,6387.33,6574.19,6339,6511.98,34689300,6511.98,-0.037638898
2000/2/14,6120.4,6431.26,6104.11,6404.39,37216600,6404.39,-0.016521857
2000/2/21,6061.26,6256.95,5987.75,6143.08,32407600,6143.08,-0.0408017
2000/2/28,6124.11,6179.03,6012.64,6057.92,25766000,6057.92,-0.013862753
2000/3/6,5900.7,5924.38,5771.27,5898.35,11697100,5898.35,-0.026340724
2000/3/13,5651.74,5965.35,5637.53,5878.93,22268300,5878.93,-0.003292446
2000/3/20,5945.19,5952.55,5675.14,5701.78,38916200,5701.78,-0.030133034
2000/3/27,6137.87,6170.04,5802.36,5986.71,34567400,5986.71,0.049972114
2000/4/3,5577.19,6169.64,5573,6080.68,37344700,6080.68,0.015696434
2000/4/10,5767.09,5771.7,5366.5,5492.87,23504000,5492.87,-0.096668465
2000/4/17,6097.27,6116.07,5769.69,5800.24,29383100,5800.24,0.055957996
2000/4/25,5905.93,6087.06,5721.97,6057.03,33897900,6057.03,0.044272306
2000/5/2,6283.19,6304.84,5762.26,5966.16,41130900,5966.16,-0.015002402
2000/5/8,6014.36,6430.6,5937.58,6346.19,39127400,6346.19,0.063697588
2000/5/15,6021.29,6081.41,5747.65,5970.96,32209900,5970.96,-0.059126815
2000/5/22,5705.4,6037.29,5652.99,5967.2,33719100,5967.2,-0.000629714
2000/5/29,5311.93,5749.13,5125.44,5675.7,35764300,5675.7,-0.048850382
2000/6/5,5128.56,5704.41,5118.19,5502.02,38304800,5502.02,-0.030600631
2000/6/12,5447.32,5577.6,4973.92,5196.56,34965200,5196.56,-0.055517792
2000/6/19,5063.59,5655.95,4965.8,5573.51,51761000,5573.51,0.072538372
2000/6/26,5409.9,5473.68,5150.05,5189.93,30337700,5189.93,-0.068821981
2000/7/3,5634.06,5869.65,5493.31,5538.33,33901400,5538.33,0.06713
2000/7/10,5412.75,5777.04,5403.58,5537.48,37742800,5537.48,-0.000153476
2000/7/17,6075.59,6106.11,5345.36,5480,42723900,5480,-0.010380173
2000/7/24,6170.69,6272.94,5487.82,5997.74,75783900,5997.74,0.094478102
2000/7/31,7254.5,7282.01,6152.62,6236.16,59065200,6236.16,0.03975164
2000/8/7,7273.6,7382.8,7063.82,7158.77,34893100,7158.77,0.14794521
2000/8/14,7162.82,7357.25,7063.02,7326.39,20057900,7326.39,0.023414637
2000/8/21,7352.73,7358.5,6996.26,7220.12,34775900,7220.12,-0.014505097
2000/8/28,7427.14,7523.53,7389.8,7402.73,29482300,7402.73,0.025291823
2000/9/4,7101.15,7443.2,7075.19,7419.44,33984400,7419.44,0.002257275
2000/9/11,7078.59,7310.1,7063.86,7121.38,33502600,7121.38,-0.040172843
2000/9/18,7075.91,7231.49,7017.98,7164.05,40007100,7164.05,0.005991816
2000/9/25,7095.4,7183.78,6991.62,7069.9,30561100,7069.9,-0.013142008
2000/10/2,7165,7319.69,7021.36,7109.03,26838800,7109.03,0.005534732
2000/10/9,7158.08,7217.24,7071.42,7163.47,39113300,7163.47,0.007657866
2000/10/16,7348.12,7415.65,7228.13,7266.82,42572800,7266.82,0.014427366
2000/10/23,7461.35,7566.41,7356.76,7403.31,40329600,7403.31,0.018782631
2000/10/30,7570.86,7600.41,7291.39,7492.25,55379800,7492.25,0.012013545
2000/11/6,7295.49,7514.69,7278.52,7514.46,29169700,7514.46,0.002964397
2000/11/13,7165.99,7316.53,6994.56,7295.49,39840500,7295.49,-0.029139818
2000/11/20,7215.34,7224.74,7089.17,7178.29,42656800,7178.29,-0.016064719
2000/11/27,7178.59,7242.69,7129.41,7217.02,31875900,7217.02,0.005395435
2000/12/4,6931.86,7192.38,6867.42,7179.81,30138100,7179.81,-0.005155868
2000/12/11,6782.3,6985.25,6720.02,6946.36,34770100,6946.36,-0.032514788
2000/12/18,6896.31,6946.44,6483.39,6664.4,71174700,6664.4,-0.040591043
2000/12/27,7137.81,7270.81,6963.31,6981.49,37283100,6981.49,0.047579677
2001/1/2,7173.59,7356.33,7122.69,7178.9,34943000,7178.9,0.028276199
2001/1/8,7412.06,7441.82,7093.91,7185.17,37952300,7185.17,0.000873393
2001/1/15,7403.83,7438.42,7364.04,7426.81,39083500,7426.81,0.03363038
2001/1/22,7222.05,7390.48,7214.05,7371.2,33371100,7371.2,-0.007487737
2001/1/29,7094.56,7226.64,7033.09,7216.21,35505900,7216.21,-0.021026427
2001/2/5,7080.78,7180.15,7000.41,7102.8,42329600,7102.8,-0.015716006
2001/2/12,7072.75,7165,7008.62,7062.42,42343500,7062.42,-0.005685082
2001/2/19,6920.36,7084.07,6835.74,7075.7,38008300,7075.7,0.001880375
2001/2/26,6973.39,7047.59,6842.9,6947.84,30379200,6947.84,-0.018070297
2001/3/5,7055.32,7056.34,6897.22,6914.19,10776900,6914.19,-0.004843232
2001/3/12,7000.38,7087.84,6992.67,7057.69,20128900,7057.69,0.02075442
2001/3/19,7027.58,7044.87,6964.13,6982.45,35923300,6982.45,-0.010660712
2001/3/26,6970.24,7042.67,6926.57,7006.17,33048500,7006.17,0.003397088
2001/4/2,6867.77,6977.91,6655.94,6947.72,38992500,6947.72,-0.008342647
2001/4/9,6892.02,6901.93,6701.98,6848.98,31876600,6848.98,-0.014211857
2001/4/17,6705.13,6854.09,6653.57,6843.55,32949300,6843.55,-0.000792819
2001/4/23,6746.44,6810.86,6617.97,6734.61,34133400,6734.61,-0.015918639
2001/4/30,6637.09,6775.17,6586.01,6754.2,30461200,6754.2,0.002908854
2001/5/7,6645.45,6668.54,6553.25,6601.37,31885700,6601.37,-0.022627402
2001/5/14,6465.83,6623.94,6461.48,6605.84,27354700,6605.84,0.000677132
2001/5/21,6308.43,6512.78,6228.39,6492.3,33834200,6492.3,-0.017187822
2001/5/28,6205,6321.79,6115.87,6291.67,31817300,6291.67,-0.030902762
2001/6/4,6307.87,6339.36,6187.22,6211.34,35303000,6211.34,-0.012767675
2001/6/11,6231.28,6339.97,6129.44,6298.3,34559000,6298.3,0.0140002
2001/6/18,6258.51,6321.2,6185.74,6209.76,40363100,6209.76,-0.014057762
2001/6/25,6156.29,6233.07,6062.65,6214.77,24854300,6214.77,0.000806794
2001/7/2,5973.48,6178.01,5833.51,6134.62,26367900,6134.62,-0.012896696
2001/7/9,6017.19,6055.23,5837.9,5951.17,24951100,5951.17,-0.029904053
2001/7/16,6132.78,6229.46,5999.63,6005.16,26888600,6005.16,0.009072166
2001/7/23,6326.62,6356.41,6068.82,6110.41,26741600,6110.41,0.017526594
2001/7/30,6187.64,6386.97,6182.68,6259.63,31654500,6259.63,0.02442062
2001/8/6,6201.02,6253.64,6059.19,6147.97,30329800,6147.97,-0.017838115
2001/8/13,6034.87,6190.24,5906.04,6166.34,25267500,6166.34,0.002987978
2001/8/20,6079.95,6248.07,6018.64,6040.27,30212400,6040.27,-0.020444867
2001/8/27,5853.75,6078.56,5809.37,6065.24,25522500,6065.24,0.004133921
2001/9/3,6097.37,6168.99,5827.25,5834.15,30229500,5834.15,-0.038100718
2001/9/10,6320.41,6330.81,6039.56,6070.6,27535500,6070.6,0.040528612
2001/9/17,6113.46,6256.55,6089.32,6216.98,45635900,6216.98,0.024112938
2001/9/24,5876.48,6089.43,5798.76,6047.83,37243900,6047.83,-0.027207744
2001/10/1,5933.58,6114.58,5833.61,5938.88,27502700,5938.88,-0.018014726
2001/10/8,5858.45,5980.78,5607.68,5946.18,41141400,5946.18,0.001229188
2001/10/15,6029.91,6181.26,5689.18,5829.25,61252500,5829.25,-0.019664726
2001/10/22,5814.41,6276.8,5805.98,6056.71,53260900,6056.71,0.039020457
2001/10/29,6122.76,6197,5655.18,5715.09,67078200,5715.09,-0.056403559
2001/11/5,6317.13,6341.52,6024.01,6135.7,60575600,6135.7,0.073596391
2001/11/12,6158.6,6287.54,6140.38,6259.53,46206500,6259.53,0.020181886
2001/11/19,6283.81,6310.76,6162.84,6180.9,39803200,6180.9,-0.012561646
2001/11/26,6235.56,6265.32,6138.02,6249.7,23872600,6249.7,0.011131065
2001/12/3,6150.17,6238.57,6108.23,6235.56,30230900,6235.56,-0.002262509
2001/12/10,5960.85,6139.5,5910.85,6120.05,32388700,6120.05,-0.018524399
2001/12/17,5933.63,6041.95,5898.22,5982.43,40631300,5982.43,-0.022486744
2001/12/27,5891.74,5989.88,5838.17,5945.11,27098300,5945.11,-0.006238268
2002/1/2,5652.85,5880.25,5641.18,5877.36,29233700,5877.36,-0.01139592
2002/1/7,5741,5743.89,5518.27,5598.46,31738700,5598.46,-0.047453278
2002/1/14,5525.74,5729.58,5498.07,5722.05,29430900,5722.05,0.022075714
2002/1/21,5476.47,5592.27,5434.4,5500.39,33089100,5500.39,-0.038737865
2002/1/28,5587.5,5733.71,5433.02,5434.34,39479600,5434.34,-0.012008239
2002/2/4,5662.85,5718.81,5540.33,5608.79,40086600,5608.79,0.032101414
2002/2/11,5897.63,5988.8,5639.49,5695.32,33912900,5695.32,0.01542757
2002/2/18,6057.93,6094.26,5866.84,5875.97,34586400,5875.97,0.031719025
2002/2/25,5975.52,6058.02,5961.25,6037.61,27598100,6037.61,0.02750865
2002/3/4,5977.99,6026.69,5949.45,5957.43,11188800,5957.43,-0.013280089
2002/3/11,5841.81,5988.28,5841.69,5957.44,20381100,5957.44,1.67858E-06
2002/3/18,5803.2,5903.43,5752.21,5831.21,37299900,5831.21,-0.021188631
2002/3/25,5812.11,5812.69,5605.43,5756.29,25949600,5756.29,-0.012848105
2002/4/2,5691.84,5859.34,5607.82,5817.65,31781700,5817.65,0.010659644
2002/4/8,5689.38,5825.69,5519.48,5685.61,28050700,5685.61,-0.02269645
2002/4/15,5717.46,5843.27,5638.33,5663.15,29347600,5663.15,-0.003950324
2002/4/22,5514.34,5726.38,5514.34,5686.83,25614100,5686.83,0.004181418
2002/4/29,5410.61,5526.86,5312.64,5488.25,32038900,5488.25,-0.034919278
2002/5/6,5764.03,5799.42,5394.8,5414.96,39086900,5414.96,-0.013353984
2002/5/13,5761.3,5888.21,5712.82,5740.25,31111800,5740.25,0.060072466
2002/5/20,5727.31,5885.78,5695.16,5743.39,35986900,5743.39,0.000547015
2002/5/27,5477.81,5748.33,5440.23,5711.88,28699100,5711.88,-0.005486307
2002/6/3,5595.36,5756.26,5442.32,5467.9,34455800,5467.9,-0.042714483
2002/6/10,5698.53,5754.04,5559.47,5581.41,27410400,5581.41,0.020759341
2002/6/17,5599.58,5760.83,5532.3,5703.83,41063000,5703.83,0.021933526
2002/6/24,5400.76,5653.15,5400.76,5624.02,24213000,5624.02,-0.013992353
2002/7/1,5474.62,5507.48,5263.11,5384.43,25318600,5384.43,-0.0426012
2002/7/8,5482.6,5575.53,5432.06,5517.35,24820900,5517.35,0.024685993
2002/7/15,5296.33,5478.18,5158.6,5462.74,26731800,5462.74,-0.009897868
2002/7/22,5451.79,5455.27,5252.15,5309.11,25610500,5309.11,-0.02812325
2002/7/29,5330.87,5480.93,5309.35,5458.96,29191400,5458.96,0.02822507
2002/8/5,5269.15,5396.95,5159.25,5332.14,31214200,5332.14,-0.023231531
2002/8/12,5014.5,5301.91,5007.95,5229.36,26070900,5229.36,-0.019275563
2002/8/19,4564.94,5017.6,4524.01,4978.4,26785800,4978.4,-0.047990576
2002/8/26,4669.66,4703.3,4558,4576.31,20635300,4576.31,-0.080766913
2002/9/2,4768.11,4930.35,4685.27,4708.21,21836100,4708.21,0.028822348
2002/9/9,4837.28,4866.8,4669.8,4776.47,25498000,4776.47,0.014498079
2002/9/16,5051.35,5051.35,4761.2,4839.46,38379800,4839.46,0.013187563
2002/9/23,5060.72,5133.4,4969.96,5069.24,22310800,5069.24,0.047480504
2002/9/30,4992.1,5177.59,4991.21,5077.03,26526400,5077.03,0.00153672
2002/10/7,4936.04,5035.51,4802.8,4940.82,25112500,4940.82,-0.026828677
2002/10/14,4702.81,5060.76,4655.53,4918.75,31134200,4918.75,-0.00446687
2002/10/21,4907.29,4926.69,4653.25,4737.5,36476300,4737.5,-0.036848793
2002/10/28,4790.03,4980.3,4781.97,4913.9,37918000,4913.9,0.037234828
2002/11/4,4625.41,4837.22,4547.9,4769.45,31711200,4769.45,-0.029396203
2002/11/11,4655.84,4674.73,4390.7,4674.32,38427100,4674.32,-0.019945696
2002/11/18,4491.12,4686.29,4461.48,4676.84,26365500,4676.84,0.000539116
2002/11/25,4421.71,4510.74,4228.89,4491.12,28730500,4491.12,-0.039710574
2002/12/2,4175.41,4456.3,3987.39,4384.99,33212900,4384.99,-0.023631076
2002/12/9,4109.28,4272.12,4102.34,4203.55,31129300,4203.55,-0.041377517
2002/12/16,3990.83,4137.8,3947.28,4068.74,37791100,4068.74,-0.032070512
2002/12/23,3677.07,4053.84,3588.89,3953.6,34270600,3953.6,-0.028298687
2002/12/30,3817.51,3891.71,3638,3666.41,31379700,3666.41,-0.072640125
2003/1/6,4057.25,4111.52,3764.69,3843.74,33318100,3843.74,0.048366113
2003/1/13,4329.35,4329.7,4014.66,4014.66,30395800,4014.66,0.044467108
2003/1/20,4627.83,4688.59,4371.47,4413.39,27702400,4413.39,0.099318498
2003/1/27,4309.17,4657.06,4198.15,4644.63,29316300,4644.63,0.052395098
2003/2/3,4165.71,4533.7,4145.12,4338.35,30912800,4338.35,-0.06594282
2003/2/10,4409.88,4452.57,4067.43,4178.94,30685200,4178.94,-0.036744384
2003/2/17,4765.38,4791.96,4295.76,4366.28,35109900,4366.28,0.04482955
2003/2/24,5010.18,5111.02,4743.97,4783.89,30616100,4783.89,0.095644347
2003/3/3,4660.17,4974.73,4655.91,4973.07,19678900,4973.07,0.039545224
2003/3/10,4693.66,4718.6,4575.52,4629.38,13508200,4629.38,-0.069110228
2003/3/17,4718.39,4785.32,4627.46,4696.7,43910500,4696.7,0.014541904
2003/3/24,4548.87,4850.39,4521.52,4663.37,37570200,4663.37,-0.007096472
2003/3/31,4653.12,4732.93,4304.03,4381.47,37695200,4381.47,-0.060449846
2003/4/7,4167.71,4703.67,4154.55,4669.44,41332800,4669.44,0.065724517
2003/4/14,4700.5,4733.79,4034.96,4127.41,41489400,4127.41,-0.116080301
2003/4/22,5024.43,5135.15,4524.89,4710.24,38653600,4710.24,0.141209621
2003/4/28,5053.94,5302.57,4751.24,4938.46,51430600,4938.46,0.048451884
2003/5/5,4143.45,5066.81,4062.77,4987.97,125469200,4987.97,0.010025393
2003/5/12,4891.76,4941.19,4014.6,4295.67,59049800,4295.67,-0.138793938
2003/5/19,4642.02,5383.79,4521.91,4781.33,86837500,4781.33,0.113058033
2003/5/26,5606.07,5606.07,4308,4544.31,85656600,4544.31,-0.049571981
2003/6/2,6010.1,6015.59,5617.81,5797.03,70275500,5797.03,0.275667813
2003/6/9,6188.58,6235.13,6001.01,6063.5,31677400,6063.5,0.045966642
2003/6/16,6138.42,6213.67,5812.77,6143.42,30068400,6143.42,0.013180506
2003/6/23,6262.34,6356.8,6086.3,6234.89,0,6234.89,0.014889101
2003/6/30,6400.85,6553.9,6095.56,6127.44,0,6127.44,-0.017233664
2003/7/7,6332.94,6457.93,6238.07,6422.3,0,6422.3,0.048121238
2003/7/14,6436.14,6485.91,6219.1,6342.42,22224200,6342.42,-0.012437912
2003/7/21,6570.52,6626.7,6369.58,6446.02,0,6446.02,0.016334459
2003/7/28,6403.3,6620.77,6322.01,6561.65,0,6561.65,0.017938201
2003/8/4,6428.36,6540.45,6264.74,6396.46,0,6396.46,-0.02517507
2003/8/11,6381.44,6577.1,6322.03,6436.71,0,6436.71,0.006292543
2003/8/18,6184.65,6396.3,5999.32,6382.65,0,6382.65,-0.008398701
2003/8/25,6312.32,6416.24,6139.74,6153.3,0,6153.3,-0.035933351
2003/9/1,6423.37,6446.54,6200.56,6272.21,0,6272.21,0.01932459
2003/9/8,6586.83,6628.72,6348.03,6421.91,0,6421.91,0.023867186
2003/9/15,6773.43,6855.84,6547.4,6578.44,0,6578.44,0.024374368
2003/9/22,6790.18,6839.32,6637.75,6765.32,0,6765.32,0.028407951
2003/9/29,7098.7,7102.05,6796.28,6803.81,0,6803.81,0.00568931
2003/10/6,6923.94,7124.61,6905.86,7096.79,0,7096.79,0.043061167
2003/10/13,7177.02,7231.86,6934.54,6944.05,0,6944.05,-0.021522407
2003/10/20,7021.29,7205.96,7001.33,7156.55,0,7156.55,0.030601738
2003/10/27,7036.99,7107.53,6961.63,7003.17,0,7003.17,-0.021432115
2003/11/3,6914.4,7092.82,6819.51,7043.23,0,7043.23,0.005720267
2003/11/10,6840.68,6945.25,6656.86,6896.58,0,6896.58,-0.020821413
2003/11/17,6561.9,6860.38,6516.51,6843.08,0,6843.08,-0.007757468
2003/11/24,6802.55,6843.25,6570.74,6603.57,0,6603.57,-0.035000321
2003/12/1,6530.11,6806.66,6429.62,6763.39,0,6763.39,0.02420206
2003/12/8,6443.45,6616.45,6443.36,6559.9,0,6559.9,-0.030086983
2003/12/15,6360.92,6469.99,6167.82,6319.99,0,6319.99,-0.036572204
2003/12/22,6487.11,6666.58,6391.56,6451.9,0,6451.9,0.020871868
2003/12/29,6692.98,6720.16,6450.88,6513.99,0,6513.99,0.009623522
2004/1/5,6850.92,7017.7,6698.55,6748.13,0,6748.13,0.035944176
2004/1/12,6947.68,7079.74,6762.77,6806.29,0,6806.29,0.008618684
2004/1/19,6723.97,7062.08,6690.77,6832.43,0,6832.43,0.003840565
2004/1/26,7018.64,7059.19,6655.65,6767.28,0,6767.28,-0.009535407
2004/2/2,6749.29,7037.16,6680.3,6968.67,0,6968.67,0.029759372
2004/2/9,7292.68,7292.68,6384.4,6816.74,0,6816.74,-0.021801865
2004/2/16,7692.54,7759.17,7287.29,7314.17,0,7314.17,0.072971831
2004/2/23,7810.82,7923.44,7675.45,7717.95,0,7717.95,0.05520517
2004/3/1,8045.97,8100.64,7780.27,7808.69,0,7808.69,0.011757008
2004/3/8,8038.73,8073.99,7991.81,8067.32,0,8067.32,0.033120792
2004/3/15,7884.17,8015.42,7777.4,8002.67,0,8002.67,-0.008013814
2004/3/22,7972.7,8117.79,7873.27,7948.36,0,7948.36,-0.006786485
2004/3/29,7859.39,8009.76,7785.12,7994.07,0,7994.07,0.005750872
2004/4/5,7642.1,7894.47,7444.62,7870.52,0,7870.52,-0.015455206
2004/4/13,7608.2,7634.46,7474.51,7608.96,0,7608.96,-0.033232874
2004/4/19,7780.49,7866.01,7564.66,7612.26,0,7612.26,0.000433699
2004/4/26,7790.89,7918.92,7701.87,7812.4,0,7812.4,0.026291798
2004/5/3,7989.4,8038.41,7792.37,7849.49,0,7849.49,0.004747581
2004/5/10,7819.28,7970.57,7763.64,7949.17,0,7949.17,0.012698914
2004/5/17,8039.8,8039.8,7870.73,7884.12,0,7884.12,-0.008183244
2004/5/24,8008.76,8063.83,7955.04,8041.26,0,8041.26,0.019931203
2004/5/31,7851.29,8014.16,7831.4,8002.18,0,8002.18,-0.004859935
2004/6/7,7777.2,7882.18,7717.44,7861.51,0,7861.51,-0.01757896
2004/6/14,7497.09,7809.24,7433.23,7794.43,0,7794.43,-0.008532712
2004/6/21,7437.69,7545.23,7369.7,7497.74,0,7497.74,-0.038064361
2004/6/28,7643.64,7725.34,7420.83,7436.63,0,7436.63,-0.008150456
2004/7/5,7525.59,7659.72,7353.82,7638.17,0,7638.17,0.027100985
2004/7/12,7400.45,7591.52,7345.13,7507.27,0,7507.27,-0.017137613
2004/7/19,7380.18,7497.65,7190.36,7378.29,0,7378.29,-0.01718068
2004/7/26,7390.88,7614.24,7293.52,7343.26,0,7343.26,-0.004747713
2004/8/2,7460.71,7632.83,7386.6,7435.67,0,7435.67,0.012584329
2004/8/9,7880.29,7944.21,7372.89,7451.68,0,7451.68,0.002153135
2004/8/16,8101.53,8130.72,7864.18,7874.85,0,7874.85,0.056788536
2004/8/23,8077.18,8151.57,7799.93,8092.77,0,8092.77,0.027672908
2004/8/30,7969.27,8115.06,7916.47,8048.32,0,8048.32,-0.005492557
2004/9/6,7896.91,8007.74,7750.62,8007.32,0,8007.32,-0.005094231
2004/9/13,8044.73,8131.73,7905.18,7949.63,0,7949.63,-0.007204658
2004/9/20,7623.33,8032.97,7595.69,8030.64,0,8030.64,0.010190411
2004/9/27,7973.68,8010.39,7499.43,7590.5,0,7590.5,-0.054807587
2004/10/4,7758.86,8001.63,7675.89,7987.85,0,7987.85,0.05234833
2004/10/11,7614.04,7774.36,7599.49,7739.2,0,7739.2,-0.031128526
2004/10/18,7505,7613.62,7418.26,7607.54,0,7607.54,-0.017012094
2004/10/25,7523.95,7538.59,7304.61,7479.34,0,7479.34,-0.016851702
2004/11/1,7369.24,7526.51,7361.36,7516.76,0,7516.76,0.005003115
2004/11/8,7348.01,7412.53,7218.72,7378.12,0,7378.12,-0.018444117
2004/11/15,7229.06,7366.59,7155.05,7342.54,0,7342.54,-0.004822367
2004/11/22,7102.47,7213.2,7087.29,7212.07,0,7212.07,-0.017769055
2004/11/29,6911.13,7103.73,6891.8,7099.91,0,7099.91,-0.015551707
2004/12/6,6899.33,6965.84,6788.33,6917.03,0,6917.03,-0.025758073
2004/12/13,6622.76,6902.62,6614.14,6899.06,0,6899.06,-0.002597936
2004/12/20,6727.57,6752.18,6444.7,6579.87,0,6579.87,-0.046265723
2004/12/27,6510.95,6745.06,6437.25,6716.52,0,6716.52,0.020767888
2005/1/3,6992.12,7040.2,6544.28,6603.32,0,6603.32,-0.016853966
2005/1/10,6967.53,7012.34,6922.36,6992.58,0,6992.58,0.058949135
2005/1/17,6892.03,6979.02,6844.39,6957.07,0,6957.07,-0.00507824
2005/1/24,6878.67,6928.98,6849.85,6911.11,0,6911.11,-0.006606229
2005/1/31,6702.45,6904.88,6683.38,6885.76,0,6885.76,-0.003668007
2005/2/7,6753.73,6771.42,6627.96,6690.34,0,6690.34,-0.02838031
2005/2/14,6719.53,6754.55,6651.68,6747.17,0,6747.17,0.008494337
2005/2/21,6603.55,6705.17,6531.25,6705.17,0,6705.17,-0.006224832
2005/2/28,6614.73,6704.04,6588.03,6593.09,0,6593.09,-0.01671546
2005/3/7,6525.99,6629.33,6525.76,6596.92,0,6596.92,0.000580911
2005/3/14,6588.25,6615.68,6493.99,6503.13,0,6503.13,-0.014217241
2005/3/21,6449.76,6605.15,6447.94,6588.83,0,6588.83,0.01317827
2005/3/29,6258.91,6440.56,6230.3,6427.41,0,6427.41,-0.024499039
2005/4/4,6400.49,6419.97,6195.81,6241.13,0,6241.13,-0.028982125
2005/4/11,6394.08,6497.06,6367.2,6411.96,0,6411.96,0.027371646
2005/4/18,6350.65,6452.13,6344.1,6412.36,0,6412.36,6.23834E-05
2005/4/25,6249.92,6366.65,6249.92,6357.77,0,6357.77,-0.008513246
2005/5/2,6230.86,6311.93,6201,6241.15,69015800,6241.15,-0.01834291
2005/5/9,6216.46,6304.78,6185.51,6262.54,0,6262.54,0.003427253
2005/5/16,6178.36,6218.57,6106.19,6202.82,0,6202.82,-0.009536067
2005/5/23,6064.88,6188.69,6054.67,6173.68,0,6173.68,-0.004697863
2005/5/30,6019.34,6097.87,5944.57,6085.82,0,6085.82,-0.014231382
2005/6/6,5898.9,6031.55,5864.99,6004.33,0,6004.33,-0.013390143
2005/6/13,5932.51,5979.87,5857.89,5883.32,0,5883.32,-0.020153789
2005/6/20,5774.31,5953.72,5737.2,5937.87,0,5937.87,0.009271976
2005/6/27,5890.01,5917.24,5753.67,5795.26,0,5795.26,-0.02401703
2005/7/4,5808.37,5907.16,5767.83,5876.54,0,5876.54,0.014025255
2005/7/11,5804.66,5847.11,5744.11,5811.47,0,5811.47,-0.011072842
2005/7/18,5661.07,5849.37,5659.71,5817.02,0,5817.02,0.000955008
2005/7/25,5685.46,5709.1,5557.59,5628.37,0,5628.37,-0.032430695
2005/8/1,5704.56,5741.8,5583.96,5723.03,0,5723.03,0.016818368
2005/8/8,5460.12,5708.33,5460.12,5705.42,0,5705.42,-0.003077041
2005/8/15,5437.08,5587.28,5365.06,5451.01,0,5451.01,-0.044590933
2005/8/22,5678.11,5711.04,5422.22,5422.22,0,5422.22,-0.00528159
2005/8/29,5688,5729.59,5608.95,5681.85,0,5681.85,0.047882602
2005/9/5,5542.74,5698.21,5420.08,5683.31,0,5683.31,0.000256959
2005/9/12,5388.83,5580.82,5382.58,5529.74,0,5529.74,-0.027021225
2005/9/19,5458.38,5507.6,5243.71,5376.01,0,5376.01,-0.027800584
2005/9/26,5685.56,5691.69,5383.28,5464.08,0,5464.08,0.016382038
2005/10/3,5782.49,5784.29,5533.12,5687.04,0,5687.04,0.040804673
2005/10/10,5653.85,5788.47,5513.43,5788.36,0,5788.36,0.017815946
2005/10/17,5893,5902.44,5587.92,5672.28,0,5672.28,-0.020054039
2005/10/24,6126.96,6162.37,5915.74,5916.28,0,5916.28,0.043016212
2005/10/31,6014.38,6113.29,5962.86,6113.29,0,6113.29,0.033299641
2005/11/7,6058.75,6121.95,6003.91,6009.89,0,6009.89,-0.016913969
2005/11/14,5915.11,6108.69,5866.85,6094.75,0,6094.75,0.014120059
2005/11/21,5951.08,6004.71,5860.5,5918.57,0,5918.57,-0.028906846
